framesensor_start,framecallback_start, ready_flag_end,node_update_start,node_update_time(us),node_update_end,split_preprocess_start,split_preprocess_time(us),split_preprocess_end,split_start,split_time(us),split_end,roi_ethernet_start, roi_total_ethernet_start
1758182281504443,23548295986,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182281505131,3,1758182281505134,1758182281505134,40,1758182281505174,1758182281505174,1758182281505320,
1758182281571143,23548362662,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182281572346,2,1758182281572348,1758182281572348,26,1758182281572374,1758182281572374,1758182281572406,
1758182281637776,23548429307,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182281638953,2,1758182281638955,1758182281638956,35,1758182281638991,1758182281638991,1758182281639023,
1758182281704542,23548495982,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182281705671,3,1758182281705674,1758182281705674,38,1758182281705712,1758182281705713,1758182281705748,
1758182281771156,23548562658,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182281772287,3,1758182281772290,1758182281772291,29,1758182281772320,1758182281772320,1758182281772349,
1758182281837868,23548629303,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182281838960,3,1758182281838963,1758182281838964,37,1758182281839001,1758182281839002,1758182281839038,
1758182281904491,23548695979,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182281905694,3,1758182281905697,1758182281905698,39,1758182281905737,1758182281905737,1758182281905774,
1758182281971154,23548762655,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182281972303,3,1758182281972306,1758182281972306,40,1758182281972346,1758182281972346,1758182281972382,
1758182282037834,23548829300,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282038999,3,1758182282039002,1758182282039003,41,1758182282039044,1758182282039044,1758182282039082,
1758182282104443,23548895976,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282105680,3,1758182282105683,1758182282105684,38,1758182282105722,1758182282105722,1758182282105758,
1758182282171183,23548962652,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282172336,3,1758182282172339,1758182282172339,42,1758182282172381,1758182282172381,1758182282172418,
1758182282237819,23549029296,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282238576,2,1758182282238578,1758182282238578,37,1758182282238615,1758182282238615,1758182282238648,
1758182282304472,23549095972,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282305238,2,1758182282305240,1758182282305241,35,1758182282305276,1758182282305276,1758182282305311,
1758182282371305,23549162648,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282371999,3,1758182282372002,1758182282372003,39,1758182282372042,1758182282372043,1758182282372075,
1758182282437812,23549229293,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282438617,3,1758182282438620,1758182282438621,37,1758182282438658,1758182282438659,1758182282438695,
1758182282504350,23549295969,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282505310,3,1758182282505313,1758182282505314,41,1758182282505355,1758182282505356,1758182282505393,
1758182282571108,23549362645,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282571951,2,1758182282571953,1758182282571954,37,1758182282571991,1758182282571991,1758182282572028,
1758182282637818,23549429289,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282638595,2,1758182282638597,1758182282638597,38,1758182282638635,1758182282638636,1758182282638672,
1758182282704449,23549495965,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282705297,3,1758182282705300,1758182282705300,37,1758182282705337,1758182282705338,1758182282705371,
1758182282771058,23549562641,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282772039,3,1758182282772042,1758182282772042,39,1758182282772081,1758182282772082,1758182282772117,
1758182282837820,23549629317,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282838700,3,1758182282838703,1758182282838703,39,1758182282838742,1758182282838742,1758182282838778,
1758182282904496,23549695962,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282905312,2,1758182282905314,1758182282905314,36,1758182282905350,1758182282905350,1758182282905385,
1758182282971168,23549762638,8463496687868977952,8386095470440816672,18016645778361176661,7955997175092441717,1758182282971909,3,1758182282971912,1758182282971912,35,1758182282971947,1758182282971948,1758182282971980,
